,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
n_males_with_hiv_alive,16469,23161,31186,40131,49550,58862,67034,74789,83269,50383,59187,78218,84318,87705,89785,90915,91412,91171,90074,89054,88705,89024,89486,89970,90345,90926,91135,91516,91688,91642,91369,90876,90293,89501,88426,87395,86496,85462,84411,83323,82147,81019,79866,78708,77618,76475
n_females_with_hiv_alive,16069,23912,33771,45316,57964,70939,82909,94658,107684,74328,88337,117516,127699,132977,136124,137678,138267,137914,136496,135171,134901,135699,136906,138291,139579,141214,142486,144096,145528,146812,147834,148551,149028,149045,148665,148301,148133,147632,147135,146435,145583,144838,144023,143178,142445,141575
male_pop,3031719,3145380,3256936,3350447,3432033,3514172,3581715,3668798,3810986,2442080,2707925,3431574,3623277,3654452,3685906,3722232,3765910,3840228,3945211,4056004,4169588,4287698,4409002,4531767,4655545,4781729,4908049,5032423,5159336,5289186,5422785,5565453,5709814,5854873,6001298,6151900,6297725,6442912,6586257,6727571,6866623,7003105,7136694,7267030,7393862,7516854
female_pop,3072233,3187724,3301995,3397487,3480469,3566047,3637927,3730866,3881124,2624821,2905306,3671942,3871657,3924944,3978382,4036155,4103076,4190702,4290104,4395911,4505739,4621025,4740311,4861606,4984337,5110133,5236841,5356536,5477864,5603496,5732500,5871980,6013061,6154203,6296848,6444774,6587214,6729556,6870286,7009153,7146079,7280756,7412811,7541918,7667787,7790083
hiv_prevalence,0.005330645,0.007432848,0.009903748,0.012662544,0.015553558,0.018332764,0.020768897,0.022899421,0.024824398,0.024612875,0.026281477,0.027554524,0.028287904,0.029116037,0.029475536,0.029463985,0.029187878,0.028525339,0.027512123,0.026529491,0.025774939,0.025225052,0.024744156,0.024300219,0.023851332,0.023467776,0.023028539,0.022679077,0.022300605,0.021891213,0.021443022,0.020933631,0.020414873,0.019863811,0.019278678,0.018710972,0.018209556,0.017695545,0.017207021,0.016725896,0.016251756,0.015812042,0.015388084,0.014983172,0.014610817,0.014245175
male_hiv_prevalence,0.005432232,0.007363498,0.009575257,0.011977805,0.014437507,0.016749892,0.018715615,0.020385151,0.021849726,0.020631183,0.021856957,0.022793622,0.023271199,0.023999494,0.024359004,0.024424861,0.024273549,0.023741038,0.022831225,0.021956093,0.021274284,0.020762656,0.020296203,0.019853183,0.019405891,0.019015298,0.018568478,0.018185276,0.017771279,0.017326296,0.016849091,0.01632859,0.01581365,0.015286583,0.014734479,0.01420618,0.013734483,0.013264499,0.012816232,0.012385302,0.011963231,0.011569011,0.011190896,0.010830835,0.010497626,0.010173804
female_hiv_prevalence,0.005230398,0.007501277,0.010227453,0.013338094,0.016654077,0.019892895,0.022790177,0.025371589,0.027745571,0.02831736,0.030405403,0.032003773,0.032983035,0.033879974,0.03421592,0.034111178,0.033698377,0.032909522,0.031816478,0.030749258,0.029939817,0.029365563,0.028881227,0.028445538,0.028003524,0.027634114,0.027208388,0.026900967,0.02656656,0.026200072,0.025788748,0.025298281,0.024784049,0.024218408,0.023609431,0.023011047,0.022487959,0.021937851,0.021416139,0.020891968,0.020372431,0.019893264,0.019428932,0.018984296,0.018577068,0.018173747
art_coverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029733333,0.097453086,0.171712346,0.231453086,0.310706173,0.373419753,0.426116049,0.46627037,0.536782716,0.589541975,0.639518519,0.68927037,0.752655556,0.764422222,0.781355556,0.798339506,0.824248148,0.850798765,0.876074074,0.897948148,0.939944444,0.949128395,0.951781481,0.956882716,0.96044321,0.961258025,0.961734568
n_alive,6103952,6333104,6558931,6747933,6912502,7080220,7219642,7399663,7692110,5066901,5613231,7103516,7494935,7579397,7664288,7758387,7868986,8030930,8235315,8451915,8675326,8908723,9149312,9393372,9639881,9891862,10144890,10388959,10637200,10892681,11155284,11437433,11722875,12009075,12298146,12596673,12884938,13172468,13456542,13736723,14012701,14283860,14549505,14808947,15061649,15306937
hiv_infections,12366,16438,20779,25395,29114,30679,30175,30263,31167,28009,21122,22186,25490,27493,25313,23577,22665,20654,18024,17191,16370,15199,13795,12622,11326,10937,9374,9177,8309,7510,6668,5584,5027,4289,3596,3219,3774,3190,3162,2827,2409,2476,2361,2315,2491,2308
