bin,q1,med,q3,whislo,whishi
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,5.957156181335449,8.935734272003174,11.914312362670898,0.0,20.850046634674072
3,41.700093269348145,50.63582992553711,62.55014228820801,11.914312362670898,89.35734939575195
4,107.22879600524902,125.10026454925537,145.9502830505371,65.52872085571289,202.54327774047852
5,157.8645782470703,183.18248558044434,208.50038528442383,86.37874031066895,277.0076599121094
6,154.88600063323975,181.6931915283203,202.5432300567627,113.18591690063477,271.0505065917969
7,142.97169494628906,160.8431396484375,175.73602294921875,95.31446838378906,220.4146728515625
8,121.37700462341309,137.0145263671875,154.885986328125,77.44300079345703,199.56463623046875
9,103.50554084777832,116.16448974609375,131.80201721191406,62.55010986328125,172.7574462890625
10,62.55010986328125,77.4429931640625,89.3572998046875,35.742919921875,128.07879638671875
11,38.72149658203125,44.67864990234375,53.6143798828125,17.8714599609375,74.46441650390625
12,14.89288330078125,19.360748291015625,23.82861328125,2.97857666015625,35.742919921875
13,2.97857666015625,5.9571533203125,8.93572998046875,0.0,17.8714599609375
14,0.0,2.97857666015625,5.9571533203125,0.0,14.89288330078125
15,0.0,0.0,2.97857666015625,0.0,5.9571533203125
